date,year,month,day,port_name,country,import_volume_estimate,export_volume_estimate,vessel_call_count,port_id
2019-08-30 00:00:00+00:00,2019,8,30,CALCUTTA,India,0.0,0.0,0,0
2019-08-31 00:00:00+00:00,2019,8,31,CALCUTTA,India,0.0,0.0,0,0
2019-09-01 00:00:00+00:00,2019,9,1,CALCUTTA,India,0.0,0.0,0,0
2019-09-02 00:00:00+00:00,2019,9,2,CALCUTTA,India,0.0,0.0,0,0
2019-09-03 00:00:00+00:00,2019,9,3,CALCUTTA,India,0.0,0.0,0,0
2019-09-04 00:00:00+00:00,2019,9,4,CALCUTTA,India,0.0,0.0,0,0
2019-09-05 00:00:00+00:00,2019,9,5,CALCUTTA,India,0.0,0.0,0,0
2019-09-06 00:00:00+00:00,2019,9,6,CALCUTTA,India,0.0,0.0,0,0
2019-09-07 00:00:00+00:00,2019,9,7,CALCUTTA,India,0.0,0.0,0,0
2019-09-08 00:00:00+00:00,2019,9,8,CALCUTTA,India,0.0,0.0,0,0
2019-09-09 00:00:00+00:00,2019,9,9,CALCUTTA,India,0.0,0.0,0,0
2019-09-10 00:00:00+00:00,2019,9,10,CALCUTTA,India,0.0,0.0,0,0
2019-09-11 00:00:00+00:00,2019,9,11,CALCUTTA,India,0.0,0.0,0,0
2019-09-12 00:00:00+00:00,2019,9,12,CALCUTTA,India,0.0,0.0,0,0
2019-09-13 00:00:00+00:00,2019,9,13,CALCUTTA,India,0.0,0.0,0,0
2019-09-14 00:00:00+00:00,2019,9,14,CALCUTTA,India,0.0,0.0,0,0
2019-09-15 00:00:00+00:00,2019,9,15,CALCUTTA,India,0.0,0.0,0,0
2019-09-16 00:00:00+00:00,2019,9,16,CALCUTTA,India,0.0,0.0,0,0
2019-09-17 00:00:00+00:00,2019,9,17,CALCUTTA,India,0.0,0.0,0,0
2019-09-18 00:00:00+00:00,2019,9,18,CALCUTTA,India,0.0,0.0,0,0
2019-09-19 00:00:00+00:00,2019,9,19,CALCUTTA,India,0.0,0.0,0,0
2019-09-20 00:00:00+00:00,2019,9,20,CALCUTTA,India,0.0,0.0,0,0
2019-09-21 00:00:00+00:00,2019,9,21,CALCUTTA,India,0.0,0.0,0,0
2019-09-22 00:00:00+00:00,2019,9,22,CALCUTTA,India,0.0,0.0,0,0
